,link,title,country,region,date,lead_par
513,https://www.theguardian.com/politics/2022/mar/20/rishi-sunak-defends-boris-johnsons-remarks-about-brexit-and-ukraine,Rishi Sunak defends Boris Johnson from fury over remarks on Brexit and Ukraine,Ukraine,N/A,2022-03-20T10:05:28Z,PM said leave vote was example of instinct to ‘choose freedom’  but chancellor says it is ‘obviously not analogous’ to Ukraine war
514,https://www.theguardian.com/world/2022/apr/10/putins-target-is-entire-european-project-says-zelenskiy-as-ukraine-braces-for-eastern-assault,Putin’s target is ‘entire European project’ says Zelenskiy as Ukraine braces for eastern assault,Ukraine,N/A,2022-04-10T06:32:00Z,More evidence emerges of atrocities as Russia pulls troops from its northern campaign around Kyiv to try and capture Donbas region
515,https://www.theguardian.com/world/2022/mar/12/kyiv-ready-to-fight-as-russian-forces-close-in-ukraine-capital,Kyiv ‘ready to fight’ as Russian forces close in on Ukraine capital,Ukraine,N/A,2022-03-13T01:11:04Z,Ukrainian president warns of ‘humanitarian catastrophe’ as hundreds of thousands of civilians remain under fire across country
516,https://www.theguardian.com/books/2022/mar/20/lessons-from-the-edge-review-marie-yovanovitch-trump-putin-ukraine,Lessons from the Edge review: Marie Yovanovitch roasts Trump on Putin and Ukraine,Ukraine,N/A,2022-03-20T06:00:48Z,The former US ambassador’s memoir is timely and telling  as well as a fine story of a life in national service
517,https://www.theguardian.com/world/live/2022/mar/19/russia-ukraine-war-latest-zelenskiy-urges-honest-peace-talks-without-delay-russian-forces-tighten-grip-around-mariupol-live,190000 civilians have been evacuated since invasion of Ukraine began – as it happened,Ukraine,N/A,2022-03-20T04:25:09Z,Mariupol council says civilians being sent to camps where their phones and documents are checked; Ukraine says 190 000 civilians have been evacuated from the frontline since the invasion began
518,https://www.theguardian.com/world/2022/feb/17/what-is-the-background-to-the-separatists-attack-in-east-ukraine,What is the background to the separatist attack in east Ukraine?,Ukraine,N/A,2022-02-17T18:04:53Z,Donetsk and Luhansk People’s Republics are Russian proxy states and could supply pretext for invasion
519,https://www.theguardian.com/culture/2022/feb/17/stephen-colbert-ukraine-trevor-noah-jimmy-kimmel,Colbert on Ukraine crisis: ‘If you’re feeling confused that’s on purpose’,Ukraine,N/A,2022-02-17T16:36:44Z,Late-night hosts discuss the US-Russia ‘signaling war’  Trump’s inflated assets and turning Mandela’s house into a luxury hotel
520,https://www.theguardian.com/business/2022/feb/25/ukraine-russia-inflation-economy-oil-gas,How the war in Ukraine will fuel a sharp hike in inflation,Ukraine,N/A,2022-02-25T17:20:26Z,With global economy hooked on fossil fuels economists are drawing parallels with the the oil shocks of the 1970s
521,https://www.theguardian.com/world/2022/mar/11/ukraine-russia-war-mariupol-evacuation,Ukraine renews effort to evacuate Mariupol as food and water run out,Ukraine,N/A,2022-03-11T15:15:47Z,Authorities trying to deliver vital supplies to desperate city as Zelenskiy says Russian army is holding it hostage
522,https://www.theguardian.com/world/2022/apr/02/russia-ukraine-war-what-we-know-on-day-38-of-the-russian-invasion,Russia-Ukraine war: what we know on day 38 of the Russian invasion,Ukraine,N/A,2022-04-02T01:39:57Z,Volodymyr Zelenskiy says Russia is trying to recruit conscripts from Crimea  as Kyiv denies being behind oil depot attack
