,title,url,lead_par,date,country,region
1535,"‘They don’t believe it’s real’: how war has split Ukrainian-Russian families",https://www.theguardian.com/world/2022/mar/18/ukraine-russia-families-divided-over-war,"Ukrainians describe anger and frustration as they try to communicate invasion’s reality to relatives across the border",2022-03-18T06:00:50Z,Russia,None
1536,"‘War criminal’ or ‘savvy strongman’? Putin invasion deepens Republican divide",https://www.theguardian.com/us-news/2022/feb/25/vladimir-putin-ukraine-invasion-deepens-republican-divide,"While Republican ‘hawks’ condemned the aggression CPAC speakers lauded the Russian president’s ‘genius’",2022-02-25T11:00:13Z,Russia,None
1537,"UK must seize chance to repair relations with EU says thinktank head",https://www.theguardian.com/world/2022/mar/29/uk-must-seize-chance-to-repair-relations-with-eu-says-thinktank-head,"Director of Chatham House says Britain’s role in Ukraine crisis is an opportunity to work more formally with Brussels",2022-03-28T23:01:07Z,Russia,None
1538,"‘It feels like the end of the world’: Taiwan civilians practise for war as Ukraine revives China fears",https://www.theguardian.com/world/2022/apr/11/it-feels-like-the-end-of-the-world-taiwan-civilians-practise-for-war-as-ukraine-revives-china-fears,"Community groups use US army training videos to rehearse for disaster yet the government is reluctant to support a civilian defence force",2022-04-11T05:00:02Z,Russia,None
1539,"It’s not too late to free ourselves from this idiotic addiction to Russian gas | George Monbiot",https://www.theguardian.com/commentisfree/2022/mar/09/addiction-russian-gas-putin-military,"Starving Putin’s military machine of funds and preventing the collapse of life on Earth: we can do both at once",2022-03-09T07:00:26Z,Russia,None
1540,"TikTok algorithm directs users to fake news about Ukraine war study says",https://www.theguardian.com/technology/2022/mar/21/tiktok-algorithm-directs-users-to-fake-news-about-ukraine-war-study-says,"Scrolling curated For You Page exposes users to disinformation within 40 minutes investigation by NewsGuard suggests",2022-03-21T13:12:23Z,Russia,None
1541,"‘They said they’d mutilate and kill me’ says kidnapped Ukrainian journalist",https://www.theguardian.com/world/2022/apr/03/they-said-theyd-mutilate-and-kill-me-says-kidnapped-ukrainian-journalist,"Russian soldiers tortured Oleh Baturin and threatened to harm his family. Now released he talks about his terrifying eight-day ordeal",2022-04-03T05:00:11Z,Russia,None
1542,"Escape from Irpin: frail residents helped to safety after month of hell",https://www.theguardian.com/world/2022/mar/28/escape-from-irpin-frail-residents-helped-to-safety-after-month-of-hell,"Some of the last people to leave the town near Kyiv describe constant noise near misses and unbearable conditions",2022-03-28T05:00:45Z,Russia,None
1543,"Thousands donate to campaign to save Ukrainian media",https://www.theguardian.com/media/2022/mar/01/thousands-donate-to-campaign-to-save-ukrainian-media,"The funds will enable independent media to continue to cover the war from neighbouring countries",2022-03-01T05:00:10Z,Russia,None
1544,"Ukraine crisis: Scholz heads to Kyiv amid fears invasion is imminent",https://www.theguardian.com/world/2022/feb/14/ukraine-crisis-scholz-heads-to-kyiv-amid-fears-invasion,"German chancellor is expected to talk about how to stabilise Ukraine’s economy as tensions rock global stock markets",2022-02-14T05:27:57Z,Russia,None
